Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Bank of Sydney,Owner Occupier- Special Expect More Home Loan Package ,https://www.infochoice.com.au/home-loans/bank-of-sydney/owner-occupier--special-expect-more-home-loan-package-32342,FIXED,4.29%,323423,4.00%,3 Year,3.58,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,1,70%,30,70%,$100000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,FALSE,$2000.00,$0,$0,,,,$0,$0,$0,$0,$0,$0,no,
Bank of Sydney,Owner Occupier- Special Expect More Home Loan Package ,https://www.infochoice.com.au/home-loans/bank-of-sydney/owner-occupier--special-expect-more-home-loan-package-32342,FIXED,4.59%,323425,4.18%,5 Year,3.58,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,1,70%,30,70%,$100000.00,$5000000.00,FALSE,TRUE,$350.00,TRUE,TRUE,0%,FALSE,$2000.00,$0,$0,,,,$0,$0,$0,$0,$0,$0,no,
bcu,All In One Account,https://www.infochoice.com.au/home-loans/bcu/all-in-one-account-1776,VARIABLE,4.40,17760,,0,0,0,HomeEquity,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,79%,40,89%,$20000.00,$2500000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$0,$0,$250.00,N/A,
BankSA,Basic Home Loan for Owner Occupier,https://www.infochoice.com.au/home-loans/banksa/basic-home-loan-for-owner-occupier-22039,VARIABLE,4.63,220390,4.68,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$100.00,$0,$350.00,,
Bank of Queensland,1 Year Fixed Discount Rate Home Loan Privileges Package $150k plus,https://www.infochoice.com.au/home-loans/bank-of-queensland/-year-fixed-discount-rate-home-loan-privileges-package-k-plus-52513,FIXED,3.54%,525131,4.54%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$150000.00,$9999999.00,FALSE,TRUE,$300.00,TRUE,TRUE,0%,FALSE,$0,$0,$0,,,,$0,$350.00,$250.00,$150.00,$395.00,$320.00,,
Bank Australia,Basic Home Loan,https://www.infochoice.com.au/home-loans/bank-australia/basic-home-loan-39860,VARIABLE,3.86,398600,3.87,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,Same business day,Branch Internet Phone,,$0,$0,$150.00,$0,$0,$250.00,,
Bank of us,FlexiChoice Fixed Rate Resi Invest Loan <80%LVR,https://www.infochoice.com.au/home-loans/bank-of-us/flexichoice-fixed-rate-resi-invest-loan-lvr-47352,FIXED,4.29%,473521,5.55%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$2500000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$200.00,$0,$0,Same business day,Internet,,$300.00,$0,$0,$250.00,$10.00,$0,,
Bank of us,FlexiChoice Fixed Rate Resi Invest Loan <80%LVR,https://www.infochoice.com.au/home-loans/bank-of-us/flexichoice-fixed-rate-resi-invest-loan-lvr-47352,FIXED,4.19%,473522,5.42%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$2500000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$200.00,$0,$0,Same business day,Internet,,$300.00,$0,$0,$250.00,$10.00,$0,,
Bank of us,FlexiChoice Fixed Rate Resi Invest Loan <80%LVR,https://www.infochoice.com.au/home-loans/bank-of-us/flexichoice-fixed-rate-resi-invest-loan-lvr-47352,FIXED,4.39%,473523,5.36%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$2500000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$200.00,$0,$0,Same business day,Internet,,$300.00,$0,$0,$250.00,$10.00,$0,,
Delphi Bank,Complete Home Loan - Standard,https://www.infochoice.com.au/home-loans/delphi-bank/complete-home-loan-standard-17605,VARIABLE,5.37,176050,5.49,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,90%,$30000.00,$10000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$1000.00,$0,$30.00,Same business day,Internet,,$0,$440.00,$330.00,$150.00,$6.00,$0,,
