Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Mortgage House,Advantage 100% Offset Home Loan (Owner Occupied),https://www.infochoice.com.au/home-loans/mortgage-house/advantage--offset-home-loan-29685,FIXED,4.48%,296853,%,3 Year,4.39,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,24 Hours,ATM,,$0,$0,$0,$200.00,$10.00,$450.00,,
Mortgage House,Advantage 100% Offset Home Loan (Owner Occupied),https://www.infochoice.com.au/home-loans/mortgage-house/advantage--offset-home-loan-29685,FIXED,4.60%,296854,%,4 Year,4.39,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,24 Hours,ATM,,$0,$0,$0,$200.00,$10.00,$450.00,,
Mortgage House,Advantage 100% Offset Home Loan (Owner Occupied),https://www.infochoice.com.au/home-loans/mortgage-house/advantage--offset-home-loan-29685,FIXED,4.70%,296855,%,5 Year,4.39,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,90%,$10000.00,$5000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,24 Hours,ATM,,$0,$0,$0,$200.00,$10.00,$450.00,,
Mortgage House,Advantage 1-Year Fixed-Rate Home Loan,https://www.infochoice.com.au/home-loans/mortgage-house/advantage--year-fixed-rate-home-loan-41111,FIXED,4.17%,411111,%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,24 Hours,Internet,,$0,$395.00,$0,$200.00,$10.00,$450.00,,
MyRate.com.au,MyRate.com.au - Classic Prime Combo Fixed Loans,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-classic-prime-combo-fixed-loans-2428,FIXED,4.23%,24281,4.22%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$500000.00,TRUE,FALSE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$0,$250.00,,
MyRate.com.au,MyRate.com.au - Classic Prime Combo Fixed Loans,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-classic-prime-combo-fixed-loans-2428,FIXED,4.03%,24282,4.19%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$500000.00,TRUE,FALSE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$0,$250.00,,
MyRate.com.au,MyRate.com.au - Classic Prime Combo Fixed Loans,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-classic-prime-combo-fixed-loans-2428,FIXED,4.13%,24283,4.20%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$500000.00,TRUE,FALSE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$0,$250.00,,
MyRate.com.au,MyRate.com.au - Classic Prime Combo Fixed Loans,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-classic-prime-combo-fixed-loans-2428,FIXED,4.68%,24284,4.38%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$500000.00,TRUE,FALSE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$0,$250.00,,
MyRate.com.au,MyRate.com.au - Classic Prime Combo Fixed Loans,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-classic-prime-combo-fixed-loans-2428,FIXED,4.78%,24285,4.45%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$500000.00,TRUE,FALSE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$0,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Variable,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-variable-36840,VARIABLE,4.07,368400,4.19,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$500000.00,$2000000.00,TRUE,TRUE,$250.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,Same business day,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Combo Fixed Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-combo-fixed-loan-1696,FIXED,4.13%,16961,4.24%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$20000.00,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Combo Fixed Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-combo-fixed-loan-1696,FIXED,3.93%,16962,4.20%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$20000.00,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Combo Fixed Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-combo-fixed-loan-1696,FIXED,4.03%,16963,4.21%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$20000.00,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Combo Fixed Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-combo-fixed-loan-1696,FIXED,4.58%,16964,4.39%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$20000.00,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Value Prime Combo Fixed Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-value-prime-combo-fixed-loan-1696,FIXED,4.68%,16965,4.47%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$200000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$20000.00,$0,24 Hours,ATM EFTPOS,,$0,$0,$0,$0,$120.00,$250.00,,
MyRate.com.au,MyRate.com.au - Offset Prime - Term Loan,https://www.infochoice.com.au/home-loans/myratecomau/myratecomau-offset-prime-term-loan-38627,VARIABLE,4.33,386270,4.33,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,10,80%,30,80%,$150000.00,$2000000.00,FALSE,FALSE,$0,TRUE,TRUE,0%,TRUE,$20000.00,$0,$0,,ATM Internet Phone BPay,,$0,$0,$0,$0,$0,$250.00,,
MyState,Basic Variable Home Loan Offer (LVR <90%),https://www.infochoice.com.au/home-loans/mystate/basic-variable-home-loan-offer-51470,VARIABLE,4.66,514700,4.69,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$0,$0,$0,$350.00,$0,$0,,
MyState,Standard Variable Home Loan,https://www.infochoice.com.au/home-loans/mystate/standard-variable-home-loan-5570,VARIABLE,5.23,55700,5.30,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$30000.00,$3000000.00,TRUE,FALSE,$0,TRUE,TRUE,0%,TRUE,$500.00,$0,$20.00,,Branch,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Special Residential Investment Loan Offer (LVR = or <80%),https://www.infochoice.com.au/home-loans/mystate/special-residential-investment-loan-offer-40588,VARIABLE,4.49,405880,4.54,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$300.00,$0,$0,$350.00,$0,$0,,
MyState,Special Residential Home Loan Offer (LVR >90%),https://www.infochoice.com.au/home-loans/mystate/special-residential-home-loan-offer-21873,VARIABLE,4.86,218730,4.93,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,90%,30,95%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Branch,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Special Residential Home Loan Offer (LVR >80% and = or <90%),https://www.infochoice.com.au/home-loans/mystate/special-residential-home-loan-offer-33506,VARIABLE,4.19,335060,4.26,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$0,,Branch,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Special Residential Home Loan Offer (LVR = or <80%),https://www.infochoice.com.au/home-loans/mystate/special-residential-home-loan-offer-29639,VARIABLE,3.99,296390,4.04,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Branch,,$300.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Residential Investment Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-residential-investment-loan-40584,FIXED,4.29%,405841,5.21%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Residential Investment Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-residential-investment-loan-40584,FIXED,4.49%,405842,5.16%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Residential Investment Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-residential-investment-loan-40584,FIXED,4.29%,405843,5.04%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Residential Investment Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-residential-investment-loan-40584,FIXED,4.69%,405845,5.07%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Loan (LVR >80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-loan-5575,FIXED,4.49%,55751,5.23%,1 Year,0.00,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,Break costs apply,
MyState,Fixed Rate Loan (LVR >80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-loan-5575,FIXED,4.49%,55752,5.16%,2 Year,0.00,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,Break costs apply,
MyState,Fixed Rate Loan (LVR >80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-loan-5575,FIXED,4.59%,55753,5.12%,3 Year,0.00,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,Break costs apply,
MyState,Fixed Rate Loan (LVR >80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-loan-5575,FIXED,4.79%,55755,5.11%,5 Year,0.00,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,Break costs apply,
MyState,Fixed rate Home Loan (LVR equal to or <80%) Interest Only,https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-interest-only-51338,FIXED,4.09%,513381,5.18%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed rate Home Loan (LVR equal to or <80%) Interest Only,https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-interest-only-51338,FIXED,4.04%,513382,5.07%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed rate Home Loan (LVR equal to or <80%) Interest Only,https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-interest-only-51338,FIXED,4.04%,513383,4.98%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed rate Home Loan (LVR equal to or <80%) Interest Only,https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-interest-only-51338,FIXED,4.79%,513385,5.11%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Home Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-31620,FIXED,4.29%,316201,5.21%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Home Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-31620,FIXED,3.99%,316202,5.07%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Home Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-31620,FIXED,4.09%,316203,4.99%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Fixed Rate Home Loan (LVR equal to or <80%),https://www.infochoice.com.au/home-loans/mystate/fixed-rate-home-loan-31620,FIXED,4.59%,316205,5.03%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,80%,$30000.00,$1000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$600.00,$0,$0,$350.00,$0,$0,,
MyState,Basic Variable Residential Home Loan Offer (LVR <= 80%),https://www.infochoice.com.au/home-loans/mystate/basic-variable-residential-home-loan-offer-51471,VARIABLE,4.29,514710,4.32,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$300.00,$0,$0,$350.00,$0,$0,,
MyState,Basic Variable Home Loan Offer (LVR>80% and = or <90%),https://www.infochoice.com.au/home-loans/mystate/basic-variable-home-loan-offer-51469,VARIABLE,3.99,514690,4.02,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,FALSE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$0,$0,$0,$350.00,$0,$0,,
MyState,Basic Variable Home Loan Offer (LVR = or <80%),https://www.infochoice.com.au/home-loans/mystate/basic-variable-home-loan-offer-51468,VARIABLE,3.79,514680,3.82,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,5,80%,30,80%,$100000.00,$3000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$0,$0,$0,$350.00,$0,$0,,
NAB,NAB Base Variable Rate Home Loan - Interest Only,https://www.infochoice.com.au/home-loans/nab/nab-base-variable-rate-home-loan-interest-only-42863,VARIABLE,4.70,428630,4.42,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$20000.00,$10000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$600.00,$0,$0,$350.00,$0,$350.00,,
NAB,NAB Tailored Home Loan Variable Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-variable-rate-principal-and-interest-42887,VARIABLE,5.80,428870,5.93,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$10000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Variable Rate - Principal and Interest,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-variable-rate-principal-and-interest-2027,VARIABLE,5.24,20270,5.37,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$10000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Variable Rate - Interest Only (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-variable-rate-interest-only-42888,VARIABLE,6.25,428880,6.11,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$10000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$600.00,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Variable Rate - Interest Only,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-variable-rate-interest-only-42886,VARIABLE,5.77,428860,5.58,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$10000000.00,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$600.00,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-42897,FIXED,4.39%,428971,5.79%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-42897,FIXED,4.19%,428972,5.62%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-42897,FIXED,4.19%,428973,5.49%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-42897,FIXED,4.89%,428974,5.61%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment),https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-42897,FIXED,4.89%,428975,5.54%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,ATM Branch EFTPOS Internet Phone BPay,,$0,$0,$0,$350.00,$8.00,$350.00,,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-2028,FIXED,3.99%,20281,5.25%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,,,$0,$0,$0,$350.00,$8.00,$350.00,Possible economic cost,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-2028,FIXED,3.98%,20282,5.13%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,,,$0,$0,$0,$350.00,$8.00,$350.00,Possible economic cost,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-2028,FIXED,4.04%,20283,5.05%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,,,$0,$0,$0,$350.00,$8.00,$350.00,Possible economic cost,
NAB,NAB Tailored Home Loan Fixed Rate - Principal and Interest,https://www.infochoice.com.au/home-loans/nab/nab-tailored-home-loan-fixed-rate-principal-and-interest-2028,FIXED,4.69%,20284,5.18%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,1,80%,30,95%,$20000.00,$1000000.00,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$2000.00,$0,$0,Same business day,,,$0,$0,$0,$350.00,$8.00,$350.00,Possible economic cost,
