rc_code,if_code,mz_code
62c4274b-976e-429f-8ff6-1f8c9cf3ac34,188320,72
152e3dab-1f84-4f7a-aaa4-003b981c963c,414490,2941
f914689f-3c26-4065-aa97-949905fa9af2,484580,4182
e450bccd-4645-448e-882b-258b81a43b33,126620,73
a7edb20c-e58a-4841-abda-8c6eca6bd04d,414480,4183
0a4c4bb6-987e-44f1-be4d-b313e1ae5839,484570,2942
21b149a3-8ced-488f-a591-309706ea61db,210690,3954
0415a3c0-6073-49e1-b1cc-79d6b7ea239e,481100,2875
fe09016c-c75e-4679-b048-a195396ce5ad,414420,2922
f172644c-d169-4566-8d4d-b018fed7fa1c,265240,4186
eee72542-8617-49fa-800c-487f2f169b0b,484560,218
5f3e6a3a-d759-4540-b607-316c0bb29fbb,414460,4187
d625f56d-d471-4d94-815b-d10b0d0e42c4,484550,2943
d59a4b0e-effb-4c6c-b0a2-a4c1f0a32430,20930,4176
eea52b88-c07b-45d7-8566-ba929fd2dd79,0,4177
7494a832-eb12-42ce-8c75-e367037e0142,394600,4178
300eb9e4-0779-4173-8713-03d9b3f6afc0,484520,66
ea0d7f83-591d-42e9-a4bf-8081941b8854,524620,0
72b1719c-66f9-4108-a37b-51839d19c0a4,484530,2103
1fb610fb-8e69-4266-bbdc-d4a1fa287dc2,484540,1758
d7138108-e359-4a99-865e-fd6dd947e034,20331,4184 Fixed 1 year rate
4b405b74-1be0-4ce4-8d69-30711b9e2025,20332,4184 Fixed 2 year rate
98c1cab6-c550-41cc-8f74-8f98c35d7e16,20333,4184 Fixed 3 year rate
02a27149-ab84-42c5-969d-9e1838cad5f7,20335,4184 Fixed 5 year rate
e4cd8f4d-6487-408d-b365-66d844fe6737,484481,74 Fixed 1 year rate
7bcb5cf1-7cef-41d2-8331-087e74c30ea3,484482,74 Fixed 2 year rate
dd6c85e7-82df-4cc7-9a34-444029e63556,484483,74 Fixed 3 year rate
cd666b23-1cee-4411-a28e-6db20b005a7b,484485,74 Fixed 5 year rate
f4fba860-0e39-4cd8-bbce-b1c87271ece5,414540,4179
b27bad32-b625-48ab-a8a4-409b4e546e95,414550,4180
730f4a5a-bcd5-4998-bb4b-0e8186b8472c,343480,4181
3319a83e-fcc8-490f-b3ff-ffcdce7b0abc,484490,2927
439f04c6-7172-447c-a87c-fae8f0a55ac6,484500,2925
26446021-61be-40d0-96ec-9c9d357831fe,484510,2928
3bad1dc8-301f-47e7-9c86-63fb7bcc1ca9,0,4202 Fixed 1 year rate
f35fa875-09b3-4672-b838-31db6444bf0d,0,4202 Fixed 2 year rate
f20fe983-1246-4514-87e7-df0dc95c92fc,0,4202 Fixed 3 year rate
ac5568f8-834e-4f0e-aedf-6b4c8bfd10e8,0,4202 Fixed 5 year rate
2357e5f0-8ab4-4898-a3ee-f13a02863c37,0,4197 Fixed 1 year rate
ec9d402d-994a-4836-aa7c-fb6c553e00ce,0,4197 Fixed 2 year rate
74b8bc55-f2a5-4ed1-90c4-ee9fd9362357,0,4197 Fixed 3 year rate
19404209-c456-4511-92ab-54074d2d3d2c,0,4197 Fixed 5 year rate
7408e332-2d28-4e69-9d6d-176cda80d147,24200,69
b0e20634-ae8c-4c26-9adb-1ac61b50f1db,19840,2104
0f350e8c-224e-47cd-932c-d7a1b2521db1,394620,1759
f9f50d00-1ad3-42cd-a425-b33644f2408a,414590,2935
42d6a1bf-fee7-46c1-8b3a-a1945109a719,414730,2933
ae8665b7-7844-4575-92d9-34b052125754,394630,2936
b65b97e4-d099-40b3-bc23-dbd5fc4f2c66,484620,0
f728e480-de3a-4b38-89da-5f04eb41ca9f,275070,0
e3cf0cba-3f5f-449f-b3b7-86a19c7341e2,275081,0
75406541-b405-4de6-8335-14b185f081ec,275082,0
92ad1e0a-6e7c-4807-8613-e7de1e7a2f45,275083,0
f75b7688-e004-4ebf-8d4b-1cdee249804d,275085,0
7311c2d4-1f33-4620-aabf-1c32a910d7e8,484611,0
c41922c6-0795-4887-9e3f-33546e158f50,484612,0
23d65700-42fc-4321-aeeb-aec9f5c173cd,484613,0
d85df350-c096-4a99-b1d5-06f9e8f5ab0d,484615,0
853cef7d-55ea-419a-a7d0-5847d64c3d70,0,108
f3d08c7b-fe72-4b8d-8937-5727c07d1333,0,0
428276a8-6d71-4e02-9f31-99e173a3ca45,0,0
cded2c5e-d95f-4d26-9ae4-222591ab2114,0,0
66258d89-9003-42ec-8fa3-8259c00d8585,0,0
e18fffcf-0e91-4843-8ea4-c44a4271855f,0,0
49314f54-9051-4f48-a343-369b94b33c94,0,1202
11aa6c4c-76b5-441f-92fa-0bafcc9ce784,0,0
a3f61786-c455-4481-ae8c-a36dad19e15d,0,1205
1154cf6f-1ab6-4dd6-8b72-4e9cb8d52f34,0,0
9f4d8407-fce1-467f-8dd6-9f29c64781ac,497411,0
c459454f-b69a-4098-8a07-b003c0b28be1,4974110,4336 Fixed 10 year rate
8527c6f8-151c-471c-a8ea-190e80cf7e6d,497412,4336 Fixed 2 year rate
af083135-3614-4b61-9db5-c254c4d72212,497413,4336 Fixed 3 year rate
e2e2e888-1dc4-4677-a6db-0997889a372a,497414,4336 Fixed 4 year rate
d734452d-12ca-4aca-8177-662a6c82f2f4,497415,4336 Fixed 5 year rate
375b579c-96d1-4880-af8d-39de0625bb5e,497417,4336 Fixed 7 year rate
661b7feb-d743-40d0-bd80-77a38f3e2909,0,0
ae661019-f638-417f-a324-2a004612eb61,0,0
6f76bed3-df15-424f-b607-e99a46148bc7,0,0
803be149-a880-4b3c-9220-28db99cd16d1,0,0
9ddee08e-7087-4c17-a81c-980eb8ccc497,0,0
45584e30-1765-4ae2-9b0d-dc8e2a0acf7a,0,0
57a08a02-dc51-4b6f-993e-0297b0552adf,0,0
6d8f3d89-0486-4093-9138-dfd53b8b3eca,394571,0
50005d8c-4945-4376-b81d-32eb17a0e817,3945710,1812 Fixed 10 year rate
e1a70c74-3562-4138-9401-e597c8243e03,394572,1812 Fixed 2 year rate
d0f10046-5acc-40c8-bbb8-2d2b76dff17d,394573,1812 Fixed 3 year rate
ad4c4abb-b450-489d-bb11-9936a176ea63,394574,1812 Fixed 4 year rate
a51dc158-d18d-4e5b-8b83-999cce3ad365,394575,1812 Fixed 5 year rate
4a645e58-597b-4c79-874b-0dd2e01ba3e9,394577,1812 Fixed 7 year rate
b46ac0cd-8ecc-4e33-b380-b278667b7457,18431,0
38b0e9e2-3618-4720-bb60-09ae55ffd4d8,184310,0
32dd7589-bc72-4500-a787-c686bbec4fcd,18432,0
1c798ad0-97c8-46c3-a160-0fdd882c788a,18433,0
9846ba44-8299-4f88-8f6a-b3fec25bac29,18434,0
65b0049b-ca28-4c71-bed8-de3261a86a4b,18435,0
f5ac631f-7e53-439c-a5f6-070f9d467ceb,18437,0
0a79c2d1-5cc9-411a-9abf-dfb120f81821,497461,4341 Fixed 1 year rate
48be13f9-7282-41f7-88f1-d7ac5261a8fa,4974610,4341 Fixed 10 year rate
9d79616f-5c5c-4a7a-9369-c86870700e3f,497462,4341 Fixed 2 year rate
2ad5e2e1-6e93-4642-b0d5-9fad6c567f07,497463,4341 Fixed 3 year rate
5ac67676-f402-4429-ab15-2b551d9d058d,497464,4341 Fixed 4 year rate
0f176ce0-7a70-4cab-9042-39dca198cf4a,497465,4341 Fixed 5 year rate
2d77d2b6-3b7d-40b2-9843-246c951b0070,497467,4341 Fixed 7 year rate
db98ae23-5c0a-4a4c-bd74-03b15d656afa,0,0
c5bfbd9a-f7f9-48f4-b7e9-d620136b886b,0,0
6734db01-772c-463b-be44-3c46cece5ea0,0,0
0bbb9ae6-3015-47ea-8c64-b1c38fdf4e56,0,0
5833d694-af07-48c7-b15b-1f3d371d2451,0,0
3e10d8e7-e40d-446c-9315-3197e7234098,0,0
3773a3b8-f152-48da-a4ac-0578902c92e9,0,0
cddfbc20-90f7-4211-bc13-cd86883aa700,0,2100 Fixed 1 year rate
8d43667b-0157-4a80-83c5-f1d33f4927b5,0,2100 Fixed 10 year rate
177366de-d31a-45b3-81a8-54fa1bf7d61e,0,2100 Fixed 2 year rate
6736447e-b01c-450d-aeba-b5838a5d2216,0,2100 Fixed 3 year rate
236aefb2-0bff-4968-9659-217819d4004a,0,2100 Fixed 4 year rate
513cacdd-601e-4311-a924-5875786dc7de,0,2100 Fixed 5 year rate
a7589e8c-bfde-4fd1-be1f-bb2a46ce02d3,0,2100 Fixed 7 year rate
09049693-4f55-47a1-8406-9dff2ea19b34,501050,4324
587477f3-1d80-4e5a-a545-1915ba0f136a,501060,0
c429385c-f4cb-4123-b118-1651f3bb3b79,501070,0
59e21da7-a18e-44b7-8d79-a44e91f697bb,0,4326
e2287e53-6e4a-493a-96e4-3dd4ebbff784,0,0
c7ec2f14-4f44-4e50-bac9-a86f9479b190,0,4327
322e23d6-84e6-4118-a569-9c6a72b6bf1a,0,0
d233eefd-c6f2-4fe5-a2e0-59ef303baaa7,0,0
6ef10c95-1d71-4b07-9537-692fa5590f6d,0,0
6725de73-f0ab-4361-b9e4-eb006c0bfde2,0,0
a42b8752-1bd8-4156-88fa-9217a970583d,108650,109
0697a6c4-a572-4a1b-a4f0-a7fa3d815444,108660,0
5c88a1e0-68a4-46b2-b141-a3a5b92e2c9d,108670,0
6754d7d0-d7d4-4c66-aaaa-b1631f22c09f,0,1203
23ccffa0-b5b1-4066-bda9-ec8ce8e76ba9,0,111
1c3cd540-c8e4-4cd5-8de9-578a80314409,0,1204
eff29db6-23b9-4573-be94-cf7dbc863050,0,112
6f090c4a-a241-456f-92c4-ff47494f6663,501080,4328
c8b3fb36-0ce3-473b-911f-3fa89e6afd10,501090,0
988f0cba-b734-4fc1-b33c-c1f2bf9dd7dc,501100,0
30db7bac-c2bc-46f0-8f61-9edec1962d93,0,4330
8f0ef015-ba14-48b7-8efe-bd6d35ad022c,0,0
2217d5cb-002f-4c19-ba10-542ec882b7d2,0,4331
012205a5-2adb-4373-aa22-6663479a38f5,0,0
8808e751-7a96-4c57-8cfd-76dff55a8fb7,0,0
3354ea11-a8fd-48e9-a4ff-2e582f3b4286,0,0
de110249-9f64-4b1e-b463-44d01b64e216,0,0
e755c1b1-4b75-4340-a2f9-fd3484c1053e,501110,2236
2a57e90d-9cdd-4d60-91e5-9880c820ce0f,501120,0
35d8cf8b-2622-4b0e-a18d-e08dd9d4543d,501130,0
a076d14c-16cb-4f93-b87b-df9f032c72ad,0,2234
38d0cd57-394f-422e-8552-192ddcd20f16,0,2235
7cc843ea-5190-4c41-b999-abb9f1af81bf,0,2232
18d370e0-609e-4b10-8f9a-ff6a773f498f,0,2233
e6771396-05e2-4799-a693-a72db4c1c062,18770,104
68d376d5-ae4c-4e5d-a756-94a868363772,0,0
2f94553f-1892-4f6a-8b6d-b8c4d75d5edd,497421,4318 Fixed 1 year rate
a3cc428f-d1b1-404f-9204-23542c75ab9b,4974210,4318 Fixed 10 year rate
ca95637c-f4c6-452c-9e80-c7376dd5c05e,497422,4318 Fixed 2 year rate
25b157b4-f411-4b8f-841e-2552c5200ee1,497423,4318 Fixed 3 year rate
7346270d-53d8-40ea-b7c0-32d02ea98a52,497424,4318 Fixed 4 year rate
1c110875-cd55-4a48-86fb-e1f472a840d1,497425,4318 Fixed 5 year rate
7aa52e09-17af-4b22-a129-6ad80f1a8725,497427,4318 Fixed 7 year rate
925d494d-d197-4b30-a268-6552b52e14fc,0,0
d954271e-654d-47e8-a2a5-9c880a385993,0,0
e57b3559-6f1c-4523-bf47-0527d68bad75,0,0
46eaebfc-ac31-4312-815f-3c0750f47082,0,0
