companyname,variationname,variationuuid,homeloantype,rate,comparisonrate,fixmonth,revertrate,introductoryrate,hasinvestmentpurpose,hasowneroccupiedpurpose,hasprincipalandinterest,hasinterestonly,hasweeklyrepayments,hasfortnightlyrepayments,hasmonthlyrepayments,minloanterm,maxlvr,maxloanterm,mintotalloanamount,maxtotalloanamount,extrarepaymentsallowed,hasoffsetaccount,hasredrawfacility,applicationfee,legalfee,valuationfee,settlementfee,dischargefee,IF Code,IF Product
Greater Bank,"Great Rate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",708ba0f0-81b9-4932-b4d2-345011bb37a9,MATCH,MATCH,MATCH,MATCH,4.36 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,134263,Greater Bank Limited - Fixed Great Rate Home Loan 3 Year
Greater Bank,"Great Rate Fixed Home Loan 5 Years (NSW, ACT & QLD only)",67a5ea29-d7ca-4ad1-a4a3-0d685e1076c4,MATCH,MATCH,MATCH,MATCH,4.36 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,134265,Greater Bank Limited - Fixed Great Rate Home Loan 5 Year
SCU,Pro Pack Home Loan ($250k+),179cfd38-6f6e-42e9-8e14-fe83e1077460,MATCH,4.40 vs 4.65,4.45 vs 4.7, vs 0,4.4 vs 0,MATCH,False vs True,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,MATCH, vs 1500000,MATCH,MATCH,MATCH,MATCH,286 vs 264,MATCH,MATCH,180 vs 0,81490,SCU - Propack Home Loan (Over 250000)  Principal & Interest Investment
SCU,My Life Variable Rate Package ($150k-$250k),3044fd96-6fab-4c64-b0f8-7bc6d5343f54,MATCH,MATCH,MATCH, vs 0,4.07 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,True vs False,True vs False,MATCH,1 vs 0,95 vs 80,MATCH,MATCH,MATCH,True vs FALSE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,180 vs 0,353910,SCU - My Life Variable Home Loan Package (150-000-249999) Principal & Interest
SCU,My Life Variable Rate Package ($250k-$500k),05f740a5-99ec-4695-b34d-eb5ccdaf394c,MATCH,MATCH,MATCH, vs 0,3.97 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,True vs False,True vs False,MATCH,1 vs 0,95 vs 80,MATCH,MATCH,MATCH,True vs FALSE,MATCH,MATCH,MATCH,286 vs 264,MATCH,MATCH,180 vs 0,353920,SCU - My Life Variable Home Loan Package (250-000-499999) Principal & Interest
SCU,Fixed Rate Home Loan 3 Years,ef4e2d59-9f27-4bfc-9933-0e0c9f13c458,MATCH,4.00 vs 4,MATCH,MATCH,4.65 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,MATCH,5000000 vs 500000,MATCH,MATCH,MATCH,MATCH,286 vs 285,MATCH,MATCH,180 vs 0,25113,SCU - Owner Occupied - Fixed Interest Rate Home Loan 3 Year
SCU,Fixed Rate Home Loan 1 Year,e3eb9ab0-8fad-4b4f-ac47-79ed93a82f00,MATCH,MATCH,MATCH,MATCH,4.65 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,MATCH,5000000 vs 500000,MATCH,MATCH,MATCH,MATCH,286 vs 285,MATCH,MATCH,180 vs 0,25111,SCU - Owner Occupied - Fixed Interest Rate Home Loan 1 Year
SCU,Basic Variable Rate Home Loan,66c12c16-e118-43b8-9213-f160a3ca7fd6,MATCH,MATCH,MATCH, vs 0,3.77 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,150000 vs 25000,5000000 vs 1000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,180 vs 0,17400,SCU - Basic Home Loan Principal & Interest
NAB,Base Variable Investment Loan (Principal and Interest),c91d70f9-795b-43b2-8424-2701cb9f208e,MATCH,MATCH,MATCH, vs 0,4.65 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,90 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428640,NAB - NAB Base Variable Rate Home Loan - Principal and Interest (Investment)
NAB,Tailored Investment Loan Fixed (Principal and Interest) 2 Years,ada394bf-f0a9-42f9-a9e4-3cdb63798ca1,MATCH,MATCH,MATCH,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,428972,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment) 2 Year
