Company,Product,url,Home Loan Type,Rate,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Max Loan to Value Ration (LVR),Max LVR with Mortgage Insurance,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Split Available,Max No. of Accounts for Split,Separate Statements for Split,Statement Frequency,Fixed Option,Fee for Fixing,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061/,FIXED,4.27,4.87,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061/,FIXED,4.45,4.85,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061/,FIXED,4.58,4.85,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061/,FIXED,4.70,4.86,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061/,FIXED,4.80,4.89,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059/,FIXED,4.17,4.41,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,95%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059/,FIXED,4.35,4.42,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,95%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059/,FIXED,4.48,4.45,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,95%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059/,FIXED,4.60,4.50,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,95%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059/,FIXED,4.70,4.56,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,95%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,TRUE,n/a,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Arab Bank,Fixed Rate Home Loan  -  Investment Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---investment-loans-only-2152/,FIXED,4.45,5.43,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Investment Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---investment-loans-only-2152/,FIXED,4.29,5.31,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Investment Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---investment-loans-only-2152/,FIXED,4.44,5.25,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Investment Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---investment-loans-only-2152/,FIXED,4.81,5.29,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
