Company,Product ID,Product,Variation,url,DIV,Intro rate,Intro rate term,Intro rate type,Comparison Rate,Fixed loan revert rate,Application fee,Legal fee,Valuation fee,Settlement fee,Other upfront fee (% of loan),Service fee,Service Term,Discharge fee,Minimum loan amount,Maximum loan amount,Minimum LVR,Maximum LVR,Availability,Repayment Type,Repayment Frequency,Extra repayments,Repayment holidays,Redraw facility,Minimum redraw amount,Split account,Offset account,Other restrictions,Other benefits,Interest Rate,Term,Variation ID
St.George,2004,Fixed Home Loan,Fixed Home Loan (Investment Principal & Interest),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_2004 clearfix,,0 Months,none,5.63%,5.78%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,90.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.14%,Fixed 2 year rate,2004 Fixed 2 year rate
St.George,2004,Fixed Home Loan,Fixed Home Loan (Investment Principal & Interest),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_2004 clearfix,,0 Months,none,5.55%,5.78%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,90.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.34%,Fixed 3 year rate,2004 Fixed 3 year rate
St.George,2004,Fixed Home Loan,Fixed Home Loan (Investment Principal & Interest),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_2004 clearfix,,0 Months,none,5.58%,5.78%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,90.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.74%,Fixed 4 year rate,2004 Fixed 4 year rate
St.George,2004,Fixed Home Loan,Fixed Home Loan (Investment Principal & Interest),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_2004 clearfix,,0 Months,none,5.50%,5.78%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,90.00%,Investment,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.74%,Fixed 5 year rate,2004 Fixed 5 year rate
St.George,3855,Fixed Home Loan,Fixed Home Loan (Investment Interest Only),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_3855 clearfix,,0 Months,none,6.33%,6.32%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,80.00%,Investment,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.84%,Fixed 1 year rate,3855 Fixed 1 year rate
St.George,3855,Fixed Home Loan,Fixed Home Loan (Investment Interest Only),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_3855 clearfix,,0 Months,none,6.15%,6.32%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,80.00%,Investment,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.64%,Fixed 2 year rate,3855 Fixed 2 year rate
St.George,3855,Fixed Home Loan,Fixed Home Loan (Investment Interest Only),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_3855 clearfix,,0 Months,none,6.01%,6.32%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,80.00%,Investment,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,4.64%,Fixed 3 year rate,3855 Fixed 3 year rate
St.George,3855,Fixed Home Loan,Fixed Home Loan (Investment Interest Only),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_3855 clearfix,,0 Months,none,6.09%,6.32%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,80.00%,Investment,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,5.24%,Fixed 4 year rate,3855 Fixed 4 year rate
St.George,3855,Fixed Home Loan,Fixed Home Loan (Investment Interest Only),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan/3480,fragment product_id_3855 clearfix,,0 Months,none,6.02%,6.32%,$600.00,$0.00,$0.00,$100.00,none,$10.00,monthly,$350.00,"$10,000",none,none,80.00%,Investment,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - fees apply,$0.00,yes,yes - partial only,none,none,5.24%,Fixed 5 year rate,3855 Fixed 5 year rate
Endeavour Mutual Bank,4885,Variable Home Loan,Special Introductory Variable Home Loan,https://mozo.com.au/home-loans/information/endeavour-mutual-bank/Variable-Home-Loan/6442,fragment product_id_4885 clearfix,3.74%,24 Months,none,4.15%,n/a,$0.00,$0.00,$0.00,$0.00,0%,$0.00,,$200.00,"$10,000","$2,000,000",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes - free,$0.00,yes,yes,none,none,4.24%,N/A,N/A
Endeavour Mutual Bank,4271,Variable Home Loan,Variable Home Loan,https://mozo.com.au/home-loans/information/endeavour-mutual-bank/Variable-Home-Loan/6442,fragment product_id_4271 clearfix,n/a,0 Months,none,4.24%,n/a,$0.00,$0.00,$0.00,$0.00,0%,$0.00,,$200.00,"$10,000","$2,000,000",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free,no,yes - free,$0.00,yes,yes,none,none,4.24%,N/A,N/A
St.George,226,Portfolio Loan,N/A,https://mozo.com.au/home-loans/information/st-george/Portfolio-Loan/3481,fragment product_id_226 clearfix,n/a,0 Months,none,n/a,n/a,$700.00,$0.00,$0.00,$100.00,none,$200.00,yearly,$350.00,"$10,000",none,none,80.00%,Investor,No set repayments,No set repayments,n/a,no,n/a,none,no,no,none,none,6.44%,N/A,N/A
Endeavour Mutual Bank,5013,Line of Credit,N/A,https://mozo.com.au/home-loans/information/endeavour-mutual-bank/Line-of-Credit/6589,fragment product_id_5013 clearfix,n/a,0 Months,none,n/a,n/a,$0.00,$0.00,$0.00,$0.00,0%,$0.00,,$200.00,"$10,000",none,none,95.00%,Owner Occupier,No set repayments,No set repayments,yes - free,no,n/a,none,yes,yes,none,none,4.89%,N/A,N/A
St.George,826,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_826 clearfix,,0 Months,none,4.95%,4.62%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,3.99%,Fixed 1 year rate,826 Fixed 1 year rate
St.George,826,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_826 clearfix,,0 Months,none,4.86%,4.62%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,3.79%,Fixed 2 year rate,826 Fixed 2 year rate
St.George,826,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_826 clearfix,,0 Months,none,4.82%,4.62%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,3.89%,Fixed 3 year rate,826 Fixed 3 year rate
St.George,826,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_826 clearfix,,0 Months,none,4.90%,4.62%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.29%,Fixed 4 year rate,826 Fixed 4 year rate
St.George,826,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_826 clearfix,,0 Months,none,4.88%,4.62%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.29%,Fixed 5 year rate,826 Fixed 5 year rate
St.George,230,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_230 clearfix,,0 Months,none,4.78%,4.42%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.99%,Fixed 1 year rate,230 Fixed 1 year rate
St.George,230,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_230 clearfix,,0 Months,none,4.70%,4.42%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.79%,Fixed 2 year rate,230 Fixed 2 year rate
St.George,230,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_230 clearfix,,0 Months,none,4.68%,4.42%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.89%,Fixed 3 year rate,230 Fixed 3 year rate
St.George,230,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_230 clearfix,,0 Months,none,4.77%,4.42%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 4 year rate,230 Fixed 4 year rate
St.George,230,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_230 clearfix,,0 Months,none,4.76%,4.42%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 5 year rate,230 Fixed 5 year rate
St.George,1101,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_1101 clearfix,,0 Months,none,4.73%,4.37%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.99%,Fixed 1 year rate,1101 Fixed 1 year rate
St.George,1101,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_1101 clearfix,,0 Months,none,4.66%,4.37%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.79%,Fixed 2 year rate,1101 Fixed 2 year rate
St.George,1101,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_1101 clearfix,,0 Months,none,4.64%,4.37%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.89%,Fixed 3 year rate,1101 Fixed 3 year rate
St.George,1101,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_1101 clearfix,,0 Months,none,4.74%,4.37%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 4 year rate,1101 Fixed 4 year rate
St.George,1101,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_1101 clearfix,,0 Months,none,4.74%,4.37%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 5 year rate,1101 Fixed 5 year rate
St.George,3877,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3877 clearfix,,0 Months,none,4.69%,4.32%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$750,000",none,none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.99%,Fixed 1 year rate,3877 Fixed 1 year rate
St.George,3877,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3877 clearfix,,0 Months,none,4.62%,4.32%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$750,000",none,none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.79%,Fixed 2 year rate,3877 Fixed 2 year rate
St.George,3877,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3877 clearfix,,0 Months,none,4.61%,4.32%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$750,000",none,none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,3.89%,Fixed 3 year rate,3877 Fixed 3 year rate
St.George,3877,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3877 clearfix,,0 Months,none,4.71%,4.32%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$750,000",none,none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 4 year rate,3877 Fixed 4 year rate
St.George,3877,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Principal & Interest) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3877 clearfix,,0 Months,none,4.71%,4.32%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$750,000",none,none,95.00%,Owner Occupier,Principal & Interest,Weekly Fortnightly Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,Get $1500 cashback by refinancing your home loan to an Advantage Package Home Loan. Minimum loan amount $250000.,4.29%,Fixed 5 year rate,3877 Fixed 5 year rate
St.George,3857,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3857 clearfix,,0 Months,none,5.52%,5.21%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.49%,Fixed 1 year rate,3857 Fixed 1 year rate
St.George,3857,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3857 clearfix,,0 Months,none,5.38%,5.21%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.09%,Fixed 2 year rate,3857 Fixed 2 year rate
St.George,3857,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3857 clearfix,,0 Months,none,5.32%,5.21%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.19%,Fixed 3 year rate,3857 Fixed 3 year rate
St.George,3857,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3857 clearfix,,0 Months,none,5.39%,5.21%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.64%,Fixed 4 year rate,3857 Fixed 4 year rate
St.George,3857,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3857 clearfix,,0 Months,none,5.44%,5.21%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$150,000","$249,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.84%,Fixed 5 year rate,3857 Fixed 5 year rate
St.George,3858,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3858 clearfix,,0 Months,none,5.35%,5.01%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.49%,Fixed 1 year rate,3858 Fixed 1 year rate
St.George,3858,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3858 clearfix,,0 Months,none,5.22%,5.01%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.09%,Fixed 2 year rate,3858 Fixed 2 year rate
St.George,3858,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3858 clearfix,,0 Months,none,5.18%,5.01%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.19%,Fixed 3 year rate,3858 Fixed 3 year rate
St.George,3858,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3858 clearfix,,0 Months,none,5.27%,5.01%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.64%,Fixed 4 year rate,3858 Fixed 4 year rate
St.George,3858,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3858 clearfix,,0 Months,none,5.32%,5.01%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$250,000","$499,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.84%,Fixed 5 year rate,3858 Fixed 5 year rate
St.George,3859,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3859 clearfix,,0 Months,none,5.30%,4.96%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.49%,Fixed 1 year rate,3859 Fixed 1 year rate
St.George,3859,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3859 clearfix,,0 Months,none,5.19%,4.96%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.09%,Fixed 2 year rate,3859 Fixed 2 year rate
St.George,3859,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3859 clearfix,,0 Months,none,5.14%,4.96%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.19%,Fixed 3 year rate,3859 Fixed 3 year rate
St.George,3859,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3859 clearfix,,0 Months,none,5.24%,4.96%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.64%,Fixed 4 year rate,3859 Fixed 4 year rate
St.George,3859,Fixed Home Loan (Advantage Package),Fixed Home Loan (Owner Occupier Interest Only) (Advantage Package),https://mozo.com.au/home-loans/information/st-george/Fixed-Home-Loan-Advantage-Package/3482,fragment product_id_3859 clearfix,,0 Months,none,5.30%,4.96%,$0.00,$0.00,$0.00,$100.00,none,$395.00,yearly,$350.00,"$500,000","$749,999",none,80.00%,Owner Occupier,Interest Only,Monthly,yes - free up to $10000 p.a.,yes,yes - free,$0.00,yes,yes - partial only,none,none,4.84%,Fixed 5 year rate,3859 Fixed 5 year rate
