Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.58%,50061,4.85%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.70%,50061,4.86%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.80%,50061,4.89%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.17%,50059,4.41%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.35%,50059,4.42%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.48%,50059,4.45%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.60%,50059,4.50%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50059,FIXED,4.70%,50059,4.56%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-40324,VARIABLE,4.74,40324,4.78,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$0,$325.00,
Adelaide Bank,SmartSaver,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-20374,VARIABLE,4.04,20374,4.08,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,Same business day,Internet Phone,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.74%,52399,5.17%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.64%,52399,5.13%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,4.69%,52399,5.11%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,5.04%,52399,5.20%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52399,FIXED,5.09%,52399,5.22%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-interest-only-52396,FIXED,4.44%,52396,4.70%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$15.00,$325.00,
